bad,achiever,2 pac
bad,agile,50 cent
bad,Attractive,AL CAPONE
bad,baby,Al Capone
BAD,Ball,al capone
bad,ball,bad
Bad,baseball,bad
Bandanna,Baskeball,bad
bandit,basketball,bad
beanie,basketball,bandana
big,basketball,bandana
big,basketball,banger
Black,basketball player,beat
black,basketball player,black
BLACK GUY,black,black
black man,BLACK GUY,black
bone,BRIGHT,black and white
Brute,bruce jenner,boyfriend
bug,cardio,boys
bully,chipper jones,Bugsy
bully,Compete,california
Bully,competition,capitalist
bully,competitive,capone
bully,competitor,Capone
bully,Discipline,Capone
Bully,entertainer,Capone
bully,EXCEPTIONAL ABILITY,Capone
bully,exercise,Capone
bully,Fast,car
bum,FAST,Chain
capitalist,fast,Chain
chains,fit,chains
chains,fit,Chicago
crime,Fit,chrime
Crime,FIT,Crime
crime,Fit,Crime
crime,fit,crime
crimes,fit,crime
criminal,fit,crime
criminal,fit,crime
criminal,fit,crime
criminal,fit,crime
criminal,fit,criminal
criminal,fit,criminal
criminal,Fitness,criminal
criminal,fitness,criminal
criminal,fitness,criminal
criminal,foot ball,Criminal
criminal,footbal,criminal
CRIMINAL,football,criminal
criminal,football,criminal
criminal,football,Criminal
criminal,Football,criminal
criminal,football,criminal
Criminal,FOOTBALL,criminal
criminal,football,Criminal
Criminal,football,criminal
criminal,football,criminal
Criminal,football,criminal
criminal,football,criminal
criminal,football,criminal
criminal,football,criminals
CRIMINAL,football,crips
criminal,football,crook
criminal,football,cruel
criminal,Football,danger
CRIMINAL,football,danger
criminal,football,dangerous
criminal,Football,degenerate
criminal,friendly,drug dealer
criminal,gggg,drug dealer
criminal,Healthy,drug-dealer
criminal,healthy,drugs
criminal,healthy,dude
criminal,IRVING,extortionist
criminal,jock,felon
criminal,jock,felon
criminal,jock,gal
criminal,jock,gang
Criminal,jock,gang
criminal,jock,Gang
crook,jock,ghetto
crook,jock,gun
Dead,jock,gun
delinquent,jock,Gun
deliquent,jock,gun
dirty,jock,Gun
Dirty,jog,Gun
drug dealer,jumping,gun
drugs,league,gun
drugs,Male,gun
enemy,Manning,gun
FIGHTER,Michael Jordan,gun
flannel,Micheal Jordan,gun
gang,money,gun
Gang,muscle,Gun
gang,muscles,gun
gang,muscular,gun
gang,olympian,gun
gang,olympian,gun
Gang,Olympics,gun
Gang,Olympics,Gun
gang,olympics,gun
Gang,Olympics,guns
gang,olympics,guns
gang,paid,guns
gang,pay,guns
gang,Phelps,guns
gang,physical,guns
gang member,player,guns
gangsta,powerful,guns
Gangsta,powerful,Guns
gangster,pro,guns
gangster,pro,GUNS
gangster,professional,guns
Gangster,professional,guns
gangster,professional,Hard
gangster,rich,Hip-hop
gangster,Rich,hood
gangster,run,hoodlum
gangster,run,hooligan
gangster,runner,ignorant
gangster,runner,"ITALIAN GUY, OR BLACK GUY"
gangster,runner,jail
gangster,runner,killer
gangster,runner,killer
gangster,Runner,loser
Gangster,runner,Loser
ganster,runner,mafia
Ganster,runner,mafia
godfather,runner,Mafia
goon,runner,mafia
gun,running,Mafia
Gun,scholar,Mafia
Gun,shoes,mafia
GUN,skilled,mafia
gun,Skilled,mafia
guns,Skilled,mafia
guns,Socks,mafia
GUY,son,mafia
Guy,sport,mafia
HARD,sport,man
hjnh,sport,mean
hood,sport,MEAN
hood,sport,Mob
hood,Sport,mob
hoodlum,sport,mob
hoodlum,sport,mob
hoodlum,sport,mob
hoodlum,sport,mob
hooligan,sports,MOB
hug,sports,mob
human,sports,mob
Idiot,sports,mob
knife,sports,MOBSTER
knife,sports,mobster
Lady,sports,mobster
life,sports,mobster
life,sports,mobster
life,sports,motorcycle
life,Sports,murderer
life,sports,New York
life,sports,organized
life,sports,organized
Life,sports,Pain
life,sports,paradise
life,sports,paradise
life,sports,Paradise
Loser,Sports,paradise
low-life,SPORTS,punk
Lowlife,sports,punk
lowlife,sports,punk
Male,sports,Punk
mean,sports,queen
mean,Sports,rap
Mean,sports,Rap
mean,sports star,rap
mean,sportsman,rap
mean,sportsman,rap
mean,sportsman,Rap
Mean,sporty,RAPPER
mean,Sprots,rapper
misunderstood,star,rough
money,Star,ruffian
monster,STAR,scary
mug,STar,scary
mugger,strong,Scary
mugger,Strong,scary
muscle,strong,shady
Politican,strong,shooting
projects,strong,Snoop dog
Punk,strong,Star
Punk,strong,Street
Punk,Strong,streets
punk,strong,stripe
Punk,strong,Television
rapper,Strong,thhhg
robber,strong,THIEF
robber,strong,thug
robber,strong,thug
robber,strong,Thug
rug,strong,thug
rug,strong,thug
rug,Strong,thug
scary,strong,thug
slug,Strong,thug
street,strong,thug
street,strong,thug
street,Strong,thug
Theif,strong,THUG
thief,strong,thug
thief,strong,thug
thief,superstar,thug
thief,Swift,thugs
thief,Tall,tommy gun
thief,Toned,Tommy gun
tough,tough,tough
unlawful,track,tough
useless,trainer,trouble
villan,Training,Uneducated
violence,trophies,Violence
violent,vain,violence
violent person,Winner,violent
white,young,Vrime
