Subject,Subject.readInstructions,Subject.gender,Subject.age,Subject.ethnicity,Subject.education,Subject.nativelang,Subject.languages,Subject.location,Condition,Talker,Lure,Recalled,PropListRecalled,PropCorrectRecalls,RecalledLure,FalseRecall
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,conner,anger,emotion mean calm hatred ire happy fear,0.5,1.0,False,
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,conner,kill,deadly murder assassin shoot slay suicide violence,0.5,1.0,False,
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,deshaun,law,amendment legislation rules government police attorney,0.357142857143,0.833333333333,False,police
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,conner,fruit,bowl salad cherry berry kiwi vegetable banana ripe fruit,0.571428571429,0.888888888889,True,fruit
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,conner,lion,hunt bears fierce feline tiger circus,0.428571428571,1.0,False,
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,deshaun,needle,cloth syringe ingest dimple haystack,0.214285714286,0.6,False,dimple ingest
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,deshaun,soft,skin kitty plush furry pillow downy,0.428571428571,1.0,False,
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,conner,black,brown coal bottom ink death dark down color,0.5,0.875,False,down
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,conner,gun,cannon bang aim shoot murder holster gun,0.428571428571,0.857142857143,True,gun
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,deshaun,law,amendment rules legislation justice law judge uphold citizen,0.285714285714,0.5,True,judge law uphold citizen
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,conner,fruit,bowl salad juice cherry basket citrus apple orange,0.571428571429,1.0,False,
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,conner,lion,hunt bears fierce feline forest cub lion roar jungle cat,0.5,0.7,True,lion forest cat
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,deshaun,sleep,yawn peace nap snore slumber awake sleep bed rest,0.571428571429,0.888888888889,True,sleep
