Subject,Subject.readInstructions,Subject.gender,Subject.age,Subject.ethnicity,Subject.education,Subject.nativelang,Subject.languages,Subject.location,Condition,Word,Status,Lure,LureTalker,Task,Judgment,JudgmentCorrect,Talker,Attribution,AttributionCorrect,AttributionLureTalker,TrialCorrect
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,africa,old,False,NA,Recall,old,True,conner,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,anger,new,True,conner,NA,old,False,NA,conner,False,True,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,apple,old,False,NA,Recall,old,True,conner,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,athlete,new,False,NA,NA,old,False,NA,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,bait,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,basketball,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,bed,old,False,NA,Math,new,False,deshaun,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,black,new,True,conner,NA,old,False,NA,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,chair,new,True,conner,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,cherry,old,False,NA,Recall,old,True,conner,conner,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,cold,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,color,old,False,NA,Math,new,False,conner,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,compete,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,criminal,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,cup,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,death,old,False,NA,Math,old,True,conner,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,dentist,old,False,NA,Math,old,True,deshaun,deshaun,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,doctor,new,True,deshaun,NA,old,False,NA,deshaun,False,True,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,feather,old,False,NA,Recall,old,True,deshaun,deshaun,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,feline,old,False,NA,Recall,old,True,conner,conner,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,fib,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,fight,new,False,NA,NA,old,False,NA,conner,False,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,frigid,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,fruit,new,True,conner,NA,old,False,NA,conner,False,True,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,fudge,old,False,NA,Math,old,True,conner,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,fur,old,False,NA,Recall,old,True,deshaun,deshaun,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,gang,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,garbage,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,goat,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,goblet,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,government,old,False,NA,Recall,old,True,deshaun,deshaun,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,gun,new,True,conner,NA,old,False,NA,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,handle,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,hard,old,False,NA,Recall,new,False,deshaun,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,hatred,old,False,NA,Recall,old,True,conner,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,hill,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,homicide,old,False,NA,Recall,old,True,conner,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,honey,old,False,NA,Math,old,True,conner,conner,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,hot,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,ire,old,False,NA,Recall,old,True,conner,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,jail,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,kill,new,True,conner,NA,old,False,NA,conner,False,True,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,kind,old,False,NA,Math,new,False,conner,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,law,new,True,deshaun,NA,old,False,NA,deshaun,False,True,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,lie,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,life,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,lion,new,True,conner,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,mad,old,False,NA,Recall,new,False,conner,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,military,old,False,NA,Math,old,True,conner,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,mountain,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,mug,new,False,NA,NA,old,False,NA,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,needle,new,True,deshaun,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,nurse,old,False,NA,Math,old,True,deshaun,deshaun,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,officer,old,False,NA,Recall,old,True,deshaun,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,patient,old,False,NA,Math,old,True,deshaun,deshaun,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,peak,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,pear,old,False,NA,Recall,old,True,conner,conner,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,pistol,old,False,NA,Math,old,True,conner,conner,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,police,old,False,NA,Math,old,True,deshaun,deshaun,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,prick,old,False,NA,Recall,new,False,deshaun,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,prison,new,False,NA,NA,old,False,NA,deshaun,False,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,punishment,new,False,NA,NA,old,False,NA,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,punk,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,recliner,old,False,NA,Math,old,True,conner,conner,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,rights,old,False,NA,Recall,new,False,deshaun,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,rob,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,robber,new,False,NA,NA,old,False,NA,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,rubbish,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,school,old,False,NA,Math,old,True,deshaun,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,sewage,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,sit,old,False,NA,Math,new,False,conner,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,slay,old,False,NA,Recall,old,True,conner,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,sleep,new,True,deshaun,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,slumber,old,False,NA,Math,old,True,deshaun,deshaun,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,smother,old,False,NA,Recall,old,True,conner,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,snooze,old,False,NA,Math,old,True,deshaun,deshaun,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,soft,new,True,deshaun,NA,old,False,NA,deshaun,False,True,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,sports,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,stool,old,False,NA,Math,old,True,conner,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,sweet,new,True,conner,NA,old,False,NA,deshaun,False,False,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,thief,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,thorn,old,False,NA,Recall,old,True,deshaun,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,thread,old,False,NA,Recall,new,False,deshaun,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,thug,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,tiger,old,False,NA,Recall,old,True,conner,conner,True,NA,True
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,trigger,old,False,NA,Math,old,True,conner,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,trouble,new,True,deshaun,NA,old,False,NA,Unknown,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,trust,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,truth,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,untrustworthy,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,violence,new,False,NA,NA,old,False,NA,conner,False,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,weather,new,False,NA,NA,new,True,NA,NA,NA,NA,False
R_3szcKf9W08IYogv,Yes,Female,32,White,graduated college,English,English,Salt Lake City  Utah,1,white,new,False,NA,NA,old,False,NA,Unknown,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,africa,old,False,NA,Recall,new,False,conner,NA,NA,NA,False
R_a3lhLyVIReJqlDr,Yes,Male,28,White,graduated high school,english,english,Plattsburgh  New York,1,anger,new,True,conner,NA,old,False,NA,conner,False,True,False
