workerid,lure,trial,speaker,time,audio,response,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""gun""",4,"""aave""",44379,"""aave-gun""","""6""","""English ""","""1""","""Male""","""21""","""no""","""""","""Yes""","""yes""","""2""","""Windows""",1080,1920,"""Chrome""","""371QPA24C2DXT4JO25YBD0EJOD9T1W""","""377YSAKP646GJ79CRN0E88PKNYWNMM""","""Listening experiment""","""Listen to words and answer some questions.""","""language research stanford fun cognitive science university explanations""","""$1.66""","""Mon May 14 12:27:46 PDT 2018""","""8""","""0""","""0""","""8""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Wed Jun 13 12:27:46 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=371QPA24C2DXT4JO25YBD0EJOD9T1W""","""3R8YZBNQ9I71YU4S0JQRXOQX0UKQ70""",0,"""Approved""","""Tue May 15 05:21:10 PDT 2018""","""Mon May 14 12:27:55 PDT 2018""","""Mon May 14 12:41:10 PDT 2018""","""Tue May 15 05:21:53 PDT 2018""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""11.2165"""
0,"""cold""",5,"""conner""",41353,"""conner-cold""","""3""","""English ""","""1""","""Male""","""21""","""no""","""""","""Yes""","""yes""","""2""","""Windows""",1080,1920,"""Chrome""","""371QPA24C2DXT4JO25YBD0EJOD9T1W""","""377YSAKP646GJ79CRN0E88PKNYWNMM""","""Listening experiment""","""Listen to words and answer some questions.""","""language research stanford fun cognitive science university explanations""","""$1.66""","""Mon May 14 12:27:46 PDT 2018""","""8""","""0""","""0""","""8""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Wed Jun 13 12:27:46 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=371QPA24C2DXT4JO25YBD0EJOD9T1W""","""3R8YZBNQ9I71YU4S0JQRXOQX0UKQ70""",0,"""Approved""","""Tue May 15 05:21:10 PDT 2018""","""Mon May 14 12:27:55 PDT 2018""","""Mon May 14 12:41:10 PDT 2018""","""Tue May 15 05:21:53 PDT 2018""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""11.2165"""
0,"""anger""",6,"""aave""",35161,"""aave-anger""","""emotion clam mean""","""English ""","""1""","""Male""","""21""","""no""","""""","""Yes""","""yes""","""2""","""Windows""",1080,1920,"""Chrome""","""371QPA24C2DXT4JO25YBD0EJOD9T1W""","""377YSAKP646GJ79CRN0E88PKNYWNMM""","""Listening experiment""","""Listen to words and answer some questions.""","""language research stanford fun cognitive science university explanations""","""$1.66""","""Mon May 14 12:27:46 PDT 2018""","""8""","""0""","""0""","""8""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Wed Jun 13 12:27:46 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=371QPA24C2DXT4JO25YBD0EJOD9T1W""","""3R8YZBNQ9I71YU4S0JQRXOQX0UKQ70""",0,"""Approved""","""Tue May 15 05:21:10 PDT 2018""","""Mon May 14 12:27:55 PDT 2018""","""Mon May 14 12:41:10 PDT 2018""","""Tue May 15 05:21:53 PDT 2018""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""11.2165"""
0,"""thug""",7,"""conner""",32837,"""conner-thug""","""drugs violent ""","""English ""","""1""","""Male""","""21""","""no""","""""","""Yes""","""yes""","""2""","""Windows""",1080,1920,"""Chrome""","""371QPA24C2DXT4JO25YBD0EJOD9T1W""","""377YSAKP646GJ79CRN0E88PKNYWNMM""","""Listening experiment""","""Listen to words and answer some questions.""","""language research stanford fun cognitive science university explanations""","""$1.66""","""Mon May 14 12:27:46 PDT 2018""","""8""","""0""","""0""","""8""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Wed Jun 13 12:27:46 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=371QPA24C2DXT4JO25YBD0EJOD9T1W""","""3R8YZBNQ9I71YU4S0JQRXOQX0UKQ70""",0,"""Approved""","""Tue May 15 05:21:10 PDT 2018""","""Mon May 14 12:27:55 PDT 2018""","""Mon May 14 12:41:10 PDT 2018""","""Tue May 15 05:21:53 PDT 2018""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""11.2165"""
0,"""mountain""",8,"""conner""",19200,"""conner-mountain""","""steep range hike""","""English ""","""1""","""Male""","""21""","""no""","""""","""Yes""","""yes""","""2""","""Windows""",1080,1920,"""Chrome""","""371QPA24C2DXT4JO25YBD0EJOD9T1W""","""377YSAKP646GJ79CRN0E88PKNYWNMM""","""Listening experiment""","""Listen to words and answer some questions.""","""language research stanford fun cognitive science university explanations""","""$1.66""","""Mon May 14 12:27:46 PDT 2018""","""8""","""0""","""0""","""8""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Wed Jun 13 12:27:46 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=371QPA24C2DXT4JO25YBD0EJOD9T1W""","""3R8YZBNQ9I71YU4S0JQRXOQX0UKQ70""",0,"""Approved""","""Tue May 15 05:21:10 PDT 2018""","""Mon May 14 12:27:55 PDT 2018""","""Mon May 14 12:41:10 PDT 2018""","""Tue May 15 05:21:53 PDT 2018""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""11.2165"""
0,"""cup""",9,"""conner""",17015,"""conner-cup""","""plastic drink scoop""","""English ""","""1""","""Male""","""21""","""no""","""""","""Yes""","""yes""","""2""","""Windows""",1080,1920,"""Chrome""","""371QPA24C2DXT4JO25YBD0EJOD9T1W""","""377YSAKP646GJ79CRN0E88PKNYWNMM""","""Listening experiment""","""Listen to words and answer some questions.""","""language research stanford fun cognitive science university explanations""","""$1.66""","""Mon May 14 12:27:46 PDT 2018""","""8""","""0""","""0""","""8""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Wed Jun 13 12:27:46 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=371QPA24C2DXT4JO25YBD0EJOD9T1W""","""3R8YZBNQ9I71YU4S0JQRXOQX0UKQ70""",0,"""Approved""","""Tue May 15 05:21:10 PDT 2018""","""Mon May 14 12:27:55 PDT 2018""","""Mon May 14 12:41:10 PDT 2018""","""Tue May 15 05:21:53 PDT 2018""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""11.2165"""
0,"""sweet""",10,"""aave""",29401,"""aave-sweet""","""Frosty anger ""","""English ""","""1""","""Male""","""21""","""no""","""""","""Yes""","""yes""","""2""","""Windows""",1080,1920,"""Chrome""","""371QPA24C2DXT4JO25YBD0EJOD9T1W""","""377YSAKP646GJ79CRN0E88PKNYWNMM""","""Listening experiment""","""Listen to words and answer some questions.""","""language research stanford fun cognitive science university explanations""","""$1.66""","""Mon May 14 12:27:46 PDT 2018""","""8""","""0""","""0""","""8""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Wed Jun 13 12:27:46 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=371QPA24C2DXT4JO25YBD0EJOD9T1W""","""3R8YZBNQ9I71YU4S0JQRXOQX0UKQ70""",0,"""Approved""","""Tue May 15 05:21:10 PDT 2018""","""Mon May 14 12:27:55 PDT 2018""","""Mon May 14 12:41:10 PDT 2018""","""Tue May 15 05:21:53 PDT 2018""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""11.2165"""
0,"""black""",11,"""aave""",51132,"""aave-black""","""-4""","""English ""","""1""","""Male""","""21""","""no""","""""","""Yes""","""yes""","""2""","""Windows""",1080,1920,"""Chrome""","""371QPA24C2DXT4JO25YBD0EJOD9T1W""","""377YSAKP646GJ79CRN0E88PKNYWNMM""","""Listening experiment""","""Listen to words and answer some questions.""","""language research stanford fun cognitive science university explanations""","""$1.66""","""Mon May 14 12:27:46 PDT 2018""","""8""","""0""","""0""","""8""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Wed Jun 13 12:27:46 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=371QPA24C2DXT4JO25YBD0EJOD9T1W""","""3R8YZBNQ9I71YU4S0JQRXOQX0UKQ70""",0,"""Approved""","""Tue May 15 05:21:10 PDT 2018""","""Mon May 14 12:27:55 PDT 2018""","""Mon May 14 12:41:10 PDT 2018""","""Tue May 15 05:21:53 PDT 2018""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""11.2165"""
0,"""jail""",12,"""conner""",45618,"""conner-jail""","""4""","""English ""","""1""","""Male""","""21""","""no""","""""","""Yes""","""yes""","""2""","""Windows""",1080,1920,"""Chrome""","""371QPA24C2DXT4JO25YBD0EJOD9T1W""","""377YSAKP646GJ79CRN0E88PKNYWNMM""","""Listening experiment""","""Listen to words and answer some questions.""","""language research stanford fun cognitive science university explanations""","""$1.66""","""Mon May 14 12:27:46 PDT 2018""","""8""","""0""","""0""","""8""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Wed Jun 13 12:27:46 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=371QPA24C2DXT4JO25YBD0EJOD9T1W""","""3R8YZBNQ9I71YU4S0JQRXOQX0UKQ70""",0,"""Approved""","""Tue May 15 05:21:10 PDT 2018""","""Mon May 14 12:27:55 PDT 2018""","""Mon May 14 12:41:10 PDT 2018""","""Tue May 15 05:21:53 PDT 2018""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""11.2165"""
0,"""gang""",13,"""conner""",37656,"""conner-gang""","""1""","""English ""","""1""","""Male""","""21""","""no""","""""","""Yes""","""yes""","""2""","""Windows""",1080,1920,"""Chrome""","""371QPA24C2DXT4JO25YBD0EJOD9T1W""","""377YSAKP646GJ79CRN0E88PKNYWNMM""","""Listening experiment""","""Listen to words and answer some questions.""","""language research stanford fun cognitive science university explanations""","""$1.66""","""Mon May 14 12:27:46 PDT 2018""","""8""","""0""","""0""","""8""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Wed Jun 13 12:27:46 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=371QPA24C2DXT4JO25YBD0EJOD9T1W""","""3R8YZBNQ9I71YU4S0JQRXOQX0UKQ70""",0,"""Approved""","""Tue May 15 05:21:10 PDT 2018""","""Mon May 14 12:27:55 PDT 2018""","""Mon May 14 12:41:10 PDT 2018""","""Tue May 15 05:21:53 PDT 2018""","""""","""""","""""","""""","""[]""","""\""multiple negations\""""","""11.2165"""
